customer_id,acquisition_channel,acquisition_date,age_group,gender,city,country,subscription_plan,first_purchase_value
CUST-002349,Google Ads,2024-03-24,25-34,Male,Los Angeles,United States,Basic,52.31
CUST-004094,Organic,2024-03-24,35-44,Male,Mumbai,India,Basic,76.73
CUST-001500,Facebook,2024-03-24,55+,Male,Los Angeles,United States,Free,16.32
CUST-001633,Facebook,2024-03-25,18-24,Male,Seattle,United States,Premium,105.48
CUST-004382,Facebook,2024-03-25,45-54,Male,Toronto,Canada,Premium,92.87
CUST-005018,Facebook,2024-03-25,45-54,Other,Mumbai,India,Basic,59.28
CUST-001161,Facebook,2024-03-25,25-34,Male,Bengaluru,India,Basic,35.77
CUST-001797,Facebook,2024-03-25,25-34,Female,Austin,United States,Premium,86.92
CUST-005095,Google Ads,2024-03-26,55+,Female,New York,United States,Premium,121.11
CUST-005436,Facebook,2024-03-26,45-54,Female,Pune,India,Basic,56.18
CUST-001591,Google Ads,2024-03-26,55+,Female,Toronto,Canada,Free,20.24
CUST-003840,Google Ads,2024-03-26,25-34,Male,Bengaluru,India,Free,17.49
CUST-005528,Organic,2024-03-26,18-24,Male,Birmingham,United Kingdom,Premium,132.29
CUST-001785,Organic,2024-03-26,18-24,Female,Sydney,Australia,Free,13.94
CUST-000664,Facebook,2024-03-26,45-54,Male,Los Angeles,United States,Free,18.52
CUST-004953,Facebook,2024-03-26,35-44,Female,New York,United States,Premium,98.89
CUST-004593,Google Ads,2024-03-26,55+,Female,Seattle,United States,Premium,100.94
CUST-004563,Google Ads,2024-03-27,18-24,Male,Melbourne,Australia,Basic,56.03
CUST-000859,Google Ads,2024-03-27,25-34,Male,New York,United States,Premium,91.27
CUST-005276,Facebook,2024-03-27,45-54,Female,Bengaluru,India,Premium,122.94
CUST-002707,Google Ads,2024-03-27,45-54,Male,Manchester,United Kingdom,Premium,116.55
CUST-000174,Google Ads,2024-03-27,25-34,Female,Chicago,United States,Premium,69.53
CUST-005317,Google Ads,2024-03-27,55+,Female,Delhi,India,Basic,42.21
CUST-002822,Google Ads,2024-03-27,25-34,Female,Los Angeles,United States,Free,27.36
CUST-003001,Google Ads,2024-03-27,55+,Male,Montreal,Canada,Basic,36.38
CUST-004602,Facebook,2024-03-27,25-34,Male,Montreal,Canada,Basic,46.06
CUST-001188,Google Ads,2024-03-27,35-44,Male,Manchester,United Kingdom,Enterprise,193.6
CUST-000744,Facebook,2024-03-28,25-34,Male,Birmingham,United Kingdom,Free,19.06
CUST-005043,Facebook,2024-03-28,18-24,Male,Pune,India,Free,11.82
CUST-004199,Google Ads,2024-03-28,18-24,Female,Austin,United States,Enterprise,282.47
CUST-000782,Facebook,2024-03-28,25-34,Female,New York,United States,Free,17.06
CUST-003832,Google Ads,2024-03-28,18-24,Male,Austin,United States,Premium,105.85
CUST-002635,Facebook,2024-03-28,25-34,Male,Vancouver,Canada,Basic,35.7
CUST-000423,Google Ads,2024-03-28,25-34,Male,Sydney,Australia,Basic,29.54
CUST-000602,Google Ads,2024-03-28,45-54,Male,Chicago,United States,Basic,19.82
CUST-003983,Facebook,2024-03-28,18-24,Female,Pune,India,Enterprise,222.43
CUST-003326,Google Ads,2024-03-29,18-24,Male,Toronto,Canada,Premium,145.13
CUST-000064,Facebook,2024-03-29,18-24,Male,Pune,India,Free,25.96
CUST-002761,Organic,2024-03-29,35-44,Female,Birmingham,United Kingdom,Free,27.4
CUST-000844,Google Ads,2024-03-29,25-34,Female,Montreal,Canada,Basic,37.8
CUST-001927,Google Ads,2024-03-29,25-34,Female,Manchester,United Kingdom,Free,15.11
CUST-003039,Facebook,2024-03-30,35-44,Female,Manchester,United Kingdom,Basic,41.37
CUST-001235,Google Ads,2024-03-30,35-44,Female,Sydney,Australia,Premium,103.12
CUST-000081,Facebook,2024-03-30,25-34,Female,Austin,United States,Premium,118.48
CUST-004066,Facebook,2024-03-30,25-34,Male,Chicago,United States,Basic,71.67
CUST-002412,Google Ads,2024-03-31,35-44,Female,Montreal,Canada,Basic,73.95
CUST-000299,Google Ads,2024-03-31,35-44,Male,Chicago,United States,Basic,55.9
CUST-005720,Organic,2024-03-31,18-24,Other,Pune,India,Premium,81.04
CUST-004051,Google Ads,2024-03-31,25-34,Female,Chicago,United States,Free,25.99
CUST-001240,Facebook,2024-03-31,25-34,Female,Pune,India,Enterprise,265.15
CUST-003717,Facebook,2024-03-31,25-34,Other,Montreal,Canada,Free,30.14
CUST-003923,Facebook,2024-03-31,45-54,Male,Delhi,India,Basic,50.07
CUST-003695,Organic,2024-03-31,18-24,Female,Chicago,United States,Basic,58.07
CUST-002856,Facebook,2024-03-31,18-24,Male,Bengaluru,India,Premium,102.67
CUST-002725,Facebook,2024-04-01,25-34,Male,Seattle,United States,Premium,65.87
CUST-000675,Facebook,2024-04-01,18-24,Male,London,United Kingdom,Basic,49.04
CUST-001267,Google Ads,2024-04-02,18-24,Female,New York,United States,Premium,108.02
CUST-002505,Facebook,2024-04-02,25-34,Male,Toronto,Canada,Basic,36.81
CUST-004971,Google Ads,2024-04-02,35-44,Female,Birmingham,United Kingdom,Enterprise,204.46
CUST-000228,Organic,2024-04-02,35-44,Female,Birmingham,United Kingdom,Premium,97.58
CUST-005460,Google Ads,2024-04-02,18-24,Male,Austin,United States,Basic,26.65
CUST-001488,Facebook,2024-04-02,45-54,Male,Los Angeles,United States,Free,16.7
CUST-000901,Facebook,2024-04-02,35-44,Male,Seattle,United States,Premium,108.57
CUST-000273,Google Ads,2024-04-02,18-24,Female,Vancouver,Canada,Premium,124.59
CUST-000393,Facebook,2024-04-02,25-34,Male,New York,United States,Basic,48.72
CUST-001710,Facebook,2024-04-02,25-34,Female,Austin,United States,Premium,78.8
CUST-004277,Google Ads,2024-04-02,25-34,Female,Seattle,United States,Enterprise,164.55
CUST-000052,Facebook,2024-04-02,25-34,Female,London,United Kingdom,Premium,77.37
CUST-002637,Facebook,2024-04-03,18-24,Female,Mumbai,India,Free,29.4
CUST-000581,Google Ads,2024-04-03,25-34,Male,Melbourne,Australia,Premium,101.6
CUST-002887,Google Ads,2024-04-03,35-44,Female,Bengaluru,India,Premium,53.16
CUST-001375,Facebook,2024-04-03,35-44,Female,Sydney,Australia,Basic,54.11
CUST-004321,Organic,2024-04-03,18-24,Male,Mumbai,India,Enterprise,192.52
CUST-004077,Facebook,2024-04-03,25-34,Female,Birmingham,United Kingdom,Free,19.39
CUST-000993,Google Ads,2024-04-04,18-24,Male,Seattle,United States,Basic,55.21
CUST-003490,Google Ads,2024-04-04,18-24,Female,Chicago,United States,Basic,55.09
CUST-001415,Facebook,2024-04-04,35-44,Male,New York,United States,Basic,45.79
CUST-000547,Facebook,2024-04-04,25-34,Male,Birmingham,United Kingdom,Free,24.7
CUST-005675,Google Ads,2024-04-04,35-44,Male,Melbourne,Australia,Premium,57.69
CUST-003605,Organic,2024-04-05,55+,Female,Sydney,Australia,Basic,71.34
CUST-005255,Facebook,2024-04-05,45-54,Male,Delhi,India,Free,22.83
CUST-002573,Facebook,2024-04-05,18-24,Female,London,United Kingdom,Premium,79.21
CUST-002393,Google Ads,2024-04-05,45-54,Male,Seattle,United States,Premium,69.0
CUST-000832,Google Ads,2024-04-05,35-44,Female,Delhi,India,Basic,37.14
CUST-005403,Google Ads,2024-04-05,35-44,Female,Pune,India,Premium,93.41
CUST-002752,Google Ads,2024-04-05,25-34,Male,Pune,India,Premium,131.13
CUST-002201,Organic,2024-04-05,25-34,Female,Sydney,Australia,Premium,107.78
CUST-003468,Facebook,2024-04-05,25-34,Male,Chicago,United States,Premium,94.0
CUST-000728,Google Ads,2024-04-05,45-54,Male,London,United Kingdom,Basic,40.24
CUST-000210,Facebook,2024-04-05,55+,Male,Seattle,United States,Enterprise,183.41
CUST-005743,Google Ads,2024-04-05,45-54,Male,Los Angeles,United States,Enterprise,218.26
CUST-001369,Facebook,2024-04-05,25-34,Male,Seattle,United States,Premium,131.65
CUST-002767,Google Ads,2024-04-05,35-44,Female,London,United Kingdom,Premium,101.08
CUST-001709,Google Ads,2024-04-06,18-24,Male,Los Angeles,United States,Free,17.88
CUST-001609,Organic,2024-04-06,25-34,Male,Austin,United States,Basic,47.53
CUST-001948,Google Ads,2024-04-06,18-24,Female,Pune,India,Premium,77.22
CUST-003141,Google Ads,2024-04-06,25-34,Female,Bengaluru,India,Basic,50.5
CUST-004087,Email,2024-04-06,55+,Male,Manchester,United Kingdom,Premium,59.63
CUST-001060,Email,2024-04-06,18-24,Male,Los Angeles,United States,Basic,46.06
CUST-000112,Facebook,2024-04-06,25-34,Male,Bengaluru,India,Free,17.75
CUST-001626,Google Ads,2024-04-06,25-34,Female,Delhi,India,Premium,91.84
CUST-002001,Email,2024-04-06,18-24,Female,New York,United States,Basic,44.87
CUST-004898,Google Ads,2024-04-06,35-44,Male,Manchester,United Kingdom,Free,38.2
CUST-002255,Google Ads,2024-04-06,18-24,Male,Birmingham,United Kingdom,Premium,132.7
CUST-001631,Email,2024-04-06,18-24,Female,Austin,United States,Premium,95.16
CUST-005708,Facebook,2024-04-06,18-24,Female,Seattle,United States,Free,9.54
CUST-004984,Email,2024-04-06,18-24,Male,Seattle,United States,Premium,145.63
CUST-001980,Facebook,2024-04-06,18-24,Female,Austin,United States,Free,25.52
CUST-000042,Google Ads,2024-04-06,18-24,Male,New York,United States,Basic,55.4
CUST-004558,Organic,2024-04-06,18-24,Male,Delhi,India,Basic,41.48
CUST-004106,Email,2024-04-07,25-34,Male,London,United Kingdom,Basic,62.09
CUST-003550,Email,2024-04-07,45-54,Male,Delhi,India,Basic,39.54
CUST-004500,Facebook,2024-04-07,35-44,Male,Chicago,United States,Free,21.11
CUST-000921,Google Ads,2024-04-07,55+,Female,New York,United States,Basic,36.14
CUST-003188,Organic,2024-04-07,25-34,Female,Bengaluru,India,Free,22.34
CUST-000969,Google Ads,2024-04-07,35-44,Female,Seattle,United States,Enterprise,235.43
CUST-003916,Google Ads,2024-04-07,25-34,Female,Austin,United States,Basic,34.28
CUST-003467,Email,2024-04-07,25-34,Female,New York,United States,Premium,96.97
CUST-004007,Email,2024-04-08,25-34,Female,Melbourne,Australia,Free,20.27
CUST-005820,Organic,2024-04-08,18-24,Male,Melbourne,Australia,Basic,73.61
CUST-002292,Facebook,2024-04-08,45-54,Male,Sydney,Australia,Free,33.29
CUST-001517,Email,2024-04-08,35-44,Female,New York,United States,Basic,48.02
CUST-004545,Email,2024-04-08,25-34,Female,Austin,United States,Basic,41.51
CUST-000161,Email,2024-04-08,35-44,Female,Austin,United States,Basic,35.14
CUST-001657,Email,2024-04-08,35-44,Male,Bengaluru,India,Free,20.34
CUST-002703,Facebook,2024-04-08,25-34,Female,Delhi,India,Basic,72.56
CUST-003072,Google Ads,2024-04-08,55+,Male,Seattle,United States,Basic,47.35
CUST-004219,Facebook,2024-04-08,35-44,Female,Delhi,India,Basic,28.91
CUST-004779,Affiliate,2024-04-08,25-34,Other,Delhi,India,Enterprise,186.85
CUST-004333,Google Ads,2024-04-08,35-44,Male,Montreal,Canada,Basic,42.14
CUST-002480,Email,2024-04-08,35-44,Male,New York,United States,Basic,42.42
CUST-005998,Google Ads,2024-04-09,25-34,Male,New York,United States,Free,8.5
CUST-003809,Google Ads,2024-04-09,25-34,Female,Manchester,United Kingdom,Premium,54.83
CUST-004911,Google Ads,2024-04-09,18-24,Female,Birmingham,United Kingdom,Premium,108.95
CUST-000260,Google Ads,2024-04-09,18-24,Male,Sydney,Australia,Free,14.59
CUST-002420,Email,2024-04-09,25-34,Female,Delhi,India,Free,25.19
CUST-003017,Email,2024-04-09,35-44,Female,New York,United States,Basic,47.98
CUST-005873,Facebook,2024-04-09,18-24,Male,New York,United States,Enterprise,261.06
CUST-001518,Google Ads,2024-04-09,18-24,Female,Mumbai,India,Free,35.12
CUST-005414,Google Ads,2024-04-09,35-44,Female,Toronto,Canada,Basic,37.6
CUST-002156,Organic,2024-04-09,35-44,Female,Toronto,Canada,Enterprise,140.87
CUST-003562,Facebook,2024-04-09,25-34,Male,New York,United States,Free,29.59
CUST-001138,Email,2024-04-09,18-24,Female,London,United Kingdom,Premium,124.2
CUST-002615,Email,2024-04-09,35-44,Female,Birmingham,United Kingdom,Basic,56.31
CUST-003067,Email,2024-04-09,35-44,Female,Montreal,Canada,Basic,61.25
CUST-004564,Google Ads,2024-04-09,25-34,Male,Toronto,Canada,Basic,18.25
CUST-001183,Google Ads,2024-04-10,35-44,Male,Birmingham,United Kingdom,Premium,89.87
CUST-002507,Email,2024-04-10,45-54,Male,Austin,United States,Premium,79.92
CUST-005031,Email,2024-04-10,45-54,Male,London,United Kingdom,Premium,85.59
CUST-003904,Email,2024-04-10,18-24,Male,Bengaluru,India,Basic,51.86
CUST-001521,Facebook,2024-04-10,35-44,Male,Delhi,India,Free,27.38
CUST-005150,Email,2024-04-10,35-44,Female,Austin,United States,Free,18.28
CUST-003398,Google Ads,2024-04-10,25-34,Female,Seattle,United States,Premium,84.69
CUST-001433,Google Ads,2024-04-10,35-44,Male,New York,United States,Basic,79.31
CUST-004125,Email,2024-04-10,35-44,Female,Toronto,Canada,Free,16.65
CUST-005980,Google Ads,2024-04-10,25-34,Female,Montreal,Canada,Free,18.12
CUST-005921,Google Ads,2024-04-10,18-24,Female,Bengaluru,India,Free,25.34
CUST-004467,Facebook,2024-04-10,18-24,Other,Pune,India,Premium,81.35
CUST-005309,Google Ads,2024-04-10,35-44,Female,Bengaluru,India,Premium,74.17
CUST-001226,Google Ads,2024-04-10,55+,Female,Pune,India,Basic,41.6
CUST-003195,Google Ads,2024-04-11,25-34,Male,Vancouver,Canada,Basic,56.26
CUST-001242,Email,2024-04-11,25-34,Female,London,United Kingdom,Premium,111.21
CUST-004357,Google Ads,2024-04-11,45-54,Male,Manchester,United Kingdom,Premium,71.83
CUST-003363,Google Ads,2024-04-11,35-44,Female,Montreal,Canada,Premium,97.55
CUST-000586,Organic,2024-04-11,18-24,Male,London,United Kingdom,Basic,42.06
CUST-005119,Email,2024-04-11,35-44,Female,Manchester,United Kingdom,Basic,45.63
CUST-005846,Email,2024-04-11,25-34,Female,Bengaluru,India,Basic,58.33
CUST-002786,Facebook,2024-04-11,18-24,Female,Montreal,Canada,Basic,65.27
CUST-003410,Email,2024-04-11,45-54,Female,New York,United States,Basic,60.05
CUST-004559,Google Ads,2024-04-11,25-34,Male,Bengaluru,India,Free,21.37
CUST-005765,Google Ads,2024-04-11,35-44,Male,Seattle,United States,Free,18.14
CUST-003121,Email,2024-04-11,18-24,Other,New York,United States,Premium,77.4
CUST-000202,Google Ads,2024-04-12,25-34,Male,Los Angeles,United States,Free,22.05
CUST-002596,Google Ads,2024-04-12,45-54,Female,Mumbai,India,Basic,40.03
CUST-004218,Google Ads,2024-04-12,18-24,Female,Delhi,India,Basic,43.5
CUST-000459,Google Ads,2024-04-12,35-44,Female,Toronto,Canada,Basic,46.19
CUST-004546,Google Ads,2024-04-12,55+,Female,Toronto,Canada,Basic,38.47
CUST-000974,Facebook,2024-04-12,55+,Female,New York,United States,Free,27.95
CUST-002496,Email,2024-04-12,18-24,Male,Mumbai,India,Basic,57.52
CUST-002565,Email,2024-04-12,45-54,Male,Manchester,United Kingdom,Basic,50.21
CUST-003191,Email,2024-04-12,35-44,Female,Bengaluru,India,Free,24.08
CUST-004554,Email,2024-04-13,25-34,Female,Mumbai,India,Free,23.04
CUST-004236,Email,2024-04-13,18-24,Male,Mumbai,India,Free,17.96
CUST-000326,Google Ads,2024-04-13,35-44,Male,Manchester,United Kingdom,Free,19.61
CUST-000520,Organic,2024-04-13,18-24,Male,Bengaluru,India,Basic,42.61
CUST-005230,Email,2024-04-13,18-24,Female,Chicago,United States,Basic,32.15
CUST-004404,Facebook,2024-04-13,45-54,Male,Seattle,United States,Basic,43.73
CUST-000769,Facebook,2024-04-13,25-34,Female,Toronto,Canada,Enterprise,152.34
CUST-004539,Facebook,2024-04-13,45-54,Female,Bengaluru,India,Free,21.89
CUST-002040,Google Ads,2024-04-13,25-34,Male,Manchester,United Kingdom,Free,22.51
CUST-002263,Google Ads,2024-04-13,35-44,Male,Montreal,Canada,Premium,100.6
CUST-001159,Email,2024-04-13,55+,Female,Austin,United States,Free,13.92
CUST-005780,Email,2024-04-13,18-24,Male,Manchester,United Kingdom,Premium,94.49
