transaction_id,customer_id,transaction_date,product_category,amount,discount,profit,refund_flag
TXN-500840,CUST-003712,2024-03-19,Home & Garden,259.24,0.15,77.12,False
TXN-500823,CUST-001914,2024-03-19,Apparel,34.97,0.0,15.74,False
TXN-500813,CUST-002086,2024-03-19,Beauty,80.44,0.3,30.97,False
TXN-500854,CUST-000636,2024-03-19,Home & Garden,26.01,0.0,-3.12,True
TXN-500841,CUST-002951,2024-03-19,Apparel,116.3,0.15,44.48,False
TXN-500794,CUST-001555,2024-03-19,Electronics,51.02,0.0,9.18,False
TXN-500791,CUST-001919,2024-03-19,Beauty,58.45,0.2,-5.61,True
TXN-500567,CUST-003758,2024-03-19,Electronics,24.38,0.05,4.17,False
TXN-500902,CUST-002669,2024-03-20,Apparel,59.75,0.15,22.85,False
TXN-500897,CUST-001200,2024-03-20,Electronics,8.91,0.0,1.6,False
TXN-500896,CUST-003655,2024-03-20,Electronics,96.7,0.1,15.67,False
TXN-500892,CUST-005019,2024-03-20,Home & Garden,18.71,0.15,5.57,False
TXN-500865,CUST-000399,2024-03-20,Home & Garden,65.58,0.0,22.95,False
TXN-500879,CUST-002785,2024-03-20,Apparel,60.35,0.15,23.08,False
TXN-500859,CUST-005719,2024-03-20,Software Add-ons,96.58,0.15,59.11,False
TXN-500990,CUST-003612,2024-03-21,Apparel,17.13,0.0,7.71,False
TXN-500991,CUST-003994,2024-03-21,Sports & Outdoors,26.29,0.1,9.46,False
TXN-500974,CUST-000134,2024-03-21,Apparel,50.74,0.0,22.83,False
TXN-501003,CUST-002652,2024-03-21,Apparel,51.84,0.15,19.83,False
TXN-500936,CUST-003778,2024-03-21,Software Add-ons,45.65,0.15,27.94,False
TXN-501002,CUST-000702,2024-03-21,Beauty,50.21,0.0,27.62,False
TXN-500995,CUST-003327,2024-03-21,Home & Garden,48.66,0.15,14.48,False
TXN-500956,CUST-000290,2024-03-21,Beauty,50.69,0.3,19.52,False
TXN-500947,CUST-003408,2024-03-21,Apparel,34.82,0.05,14.89,False
TXN-500932,CUST-004346,2024-03-21,Beauty,31.0,0.3,11.94,False
TXN-500952,CUST-005067,2024-03-21,Home & Garden,19.2,0.0,6.72,False
TXN-500910,CUST-001816,2024-03-21,Electronics,193.99,0.0,34.92,False
TXN-500924,CUST-005171,2024-03-21,Home & Garden,37.84,0.2,10.6,False
TXN-500317,CUST-005715,2024-03-22,Beauty,231.86,0.0,127.52,False
TXN-501076,CUST-002363,2024-03-22,Software Add-ons,24.59,0.0,17.7,False
TXN-501077,CUST-005113,2024-03-22,Apparel,44.32,0.3,13.96,False
TXN-501042,CUST-003164,2024-03-22,Electronics,54.82,0.2,7.89,False
TXN-501028,CUST-003947,2024-03-22,Software Add-ons,43.25,0.3,21.8,False
TXN-501029,CUST-004905,2024-03-22,Home & Garden,18.69,0.0,6.54,False
TXN-501030,CUST-001590,2024-03-22,Beauty,148.71,0.0,81.79,False
TXN-501035,CUST-000490,2024-03-22,Electronics,40.31,0.1,6.53,False
TXN-501044,CUST-000668,2024-03-22,Home & Garden,185.06,0.0,64.77,False
TXN-501102,CUST-004857,2024-03-23,Home & Garden,32.62,0.05,10.85,False
TXN-501112,CUST-002075,2024-03-23,Sports & Outdoors,125.19,0.3,35.05,False
TXN-501137,CUST-005218,2024-03-23,Electronics,26.65,0.15,4.08,False
TXN-501142,CUST-001044,2024-03-23,Sports & Outdoors,51.72,0.15,17.58,False
TXN-501143,CUST-001384,2024-03-23,Software Add-ons,41.93,0.0,30.19,False
TXN-501083,CUST-001951,2024-03-23,Beauty,106.54,0.05,55.67,False
TXN-500880,CUST-002785,2024-03-23,Apparel,57.53,0.05,24.6,False
TXN-500329,CUST-000739,2024-03-23,Apparel,60.27,0.1,24.41,False
TXN-501190,CUST-001500,2024-03-24,Home & Garden,16.32,0.05,5.43,False
TXN-501188,CUST-004094,2024-03-24,Electronics,76.73,0.0,13.81,False
TXN-501187,CUST-002349,2024-03-24,Software Add-ons,52.31,0.05,35.78,False
TXN-501180,CUST-000462,2024-03-24,Electronics,107.92,0.0,19.43,False
TXN-501164,CUST-002441,2024-03-24,Apparel,105.9,0.15,40.51,False
TXN-501158,CUST-004594,2024-03-24,Apparel,14.81,0.15,5.66,False
TXN-501178,CUST-004641,2024-03-24,Electronics,60.53,0.2,8.72,False
TXN-501155,CUST-002604,2024-03-24,Electronics,82.65,0.0,14.88,False
TXN-501156,CUST-004803,2024-03-24,Software Add-ons,33.31,0.0,23.98,False
TXN-500842,CUST-002951,2024-03-25,Apparel,224.69,0.1,-24.27,True
TXN-501191,CUST-001633,2024-03-25,Beauty,105.48,0.15,49.31,False
TXN-501203,CUST-004382,2024-03-25,Beauty,92.87,0.1,45.97,False
TXN-501219,CUST-005018,2024-03-25,Home & Garden,59.28,0.0,20.75,False
TXN-501231,CUST-001161,2024-03-25,Electronics,35.77,0.05,6.12,False
TXN-501240,CUST-001797,2024-03-25,Home & Garden,86.92,0.1,27.38,False
TXN-501257,CUST-001785,2024-03-26,Apparel,13.94,0.2,5.02,False
TXN-501260,CUST-000664,2024-03-26,Apparel,18.52,0.2,6.67,False
TXN-501261,CUST-004953,2024-03-26,Software Add-ons,98.89,0.05,67.64,False
TXN-501250,CUST-005528,2024-03-26,Electronics,132.29,0.05,22.62,False
TXN-501286,CUST-004593,2024-03-26,Software Add-ons,100.94,0.15,61.78,False
TXN-501249,CUST-003840,2024-03-26,Home & Garden,17.49,0.0,6.12,False
TXN-501246,CUST-001591,2024-03-26,Sports & Outdoors,20.24,0.0,8.1,False
TXN-501241,CUST-005095,2024-03-26,Sports & Outdoors,121.11,0.15,41.18,False
TXN-501242,CUST-005436,2024-03-26,Electronics,56.18,0.0,10.11,False
TXN-501307,CUST-002707,2024-03-27,Electronics,116.55,0.1,18.88,False
TXN-501312,CUST-005317,2024-03-27,Apparel,42.21,0.0,18.99,False
TXN-501315,CUST-002822,2024-03-27,Apparel,27.36,0.1,11.08,False
TXN-501316,CUST-003001,2024-03-27,Software Add-ons,36.38,0.0,-4.37,True
TXN-501318,CUST-004602,2024-03-27,Apparel,46.06,0.05,19.69,False
TXN-501321,CUST-001188,2024-03-27,Beauty,193.6,0.15,90.51,False
TXN-501310,CUST-000174,2024-03-27,Home & Garden,69.53,0.05,23.12,False
TXN-501305,CUST-005276,2024-03-27,Electronics,122.94,0.0,22.13,False
TXN-500324,CUST-004373,2024-03-27,Electronics,137.02,0.0,-16.44,True
TXN-501288,CUST-004563,2024-03-27,Electronics,56.03,0.0,10.09,False
TXN-500375,CUST-003269,2024-03-27,Beauty,90.36,0.0,49.7,False
TXN-501289,CUST-000859,2024-03-27,Beauty,91.27,0.05,47.69,False
TXN-501349,CUST-003983,2024-03-28,Beauty,222.43,0.15,103.99,False
TXN-501348,CUST-000602,2024-03-28,Home & Garden,19.82,0.0,6.94,False
TXN-501346,CUST-000423,2024-03-28,Home & Garden,29.54,0.05,9.82,False
TXN-501335,CUST-002635,2024-03-28,Sports & Outdoors,35.7,0.15,12.14,False
TXN-501333,CUST-000782,2024-03-28,Home & Garden,17.06,0.1,5.37,False
TXN-501329,CUST-004199,2024-03-28,Electronics,282.47,0.0,50.84,False
TXN-501334,CUST-003832,2024-03-28,Electronics,105.85,0.05,18.1,False
TXN-500226,CUST-004093,2024-03-28,Apparel,108.51,0.0,48.83,False
TXN-501323,CUST-000744,2024-03-28,Apparel,19.06,0.15,7.29,False
TXN-501326,CUST-005043,2024-03-28,Sports & Outdoors,11.82,0.0,4.73,False
TXN-501402,CUST-000844,2024-03-29,Apparel,37.8,0.05,16.16,False
TXN-501392,CUST-002761,2024-03-29,Home & Garden,27.4,0.0,9.59,False
TXN-501389,CUST-000064,2024-03-29,Beauty,25.96,0.05,13.56,False
TXN-501366,CUST-003326,2024-03-29,Apparel,145.13,0.1,58.78,False
TXN-500594,CUST-005325,2024-03-29,Electronics,55.97,0.1,9.07,False
TXN-501407,CUST-001927,2024-03-29,Electronics,15.11,0.0,2.72,False
TXN-500460,CUST-005073,2024-03-29,Beauty,323.51,0.0,177.93,False
TXN-500318,CUST-005715,2024-03-29,Software Add-ons,183.85,0.15,112.51,False
TXN-500631,CUST-005657,2024-03-30,Home & Garden,81.18,0.05,26.99,False
TXN-501422,CUST-000081,2024-03-30,Home & Garden,118.48,0.0,41.47,False
TXN-501415,CUST-001235,2024-03-30,Sports & Outdoors,103.12,0.0,41.25,False
TXN-501411,CUST-003039,2024-03-30,Electronics,41.37,0.0,7.45,False
TXN-501435,CUST-004066,2024-03-30,Electronics,71.67,0.05,12.26,False
TXN-500911,CUST-001816,2024-03-30,Apparel,262.66,0.0,118.2,False
TXN-501350,CUST-003983,2024-03-31,Home & Garden,214.29,0.15,63.75,False
TXN-501438,CUST-002412,2024-03-31,Electronics,73.95,0.0,13.31,False
TXN-501443,CUST-000299,2024-03-31,Beauty,55.9,0.15,26.13,False
TXN-501461,CUST-005720,2024-03-31,Apparel,81.04,0.1,32.82,False
TXN-501463,CUST-004051,2024-03-31,Home & Garden,25.99,0.0,9.1,False
TXN-501474,CUST-001240,2024-03-31,Electronics,265.15,0.1,42.95,False
TXN-501507,CUST-003717,2024-03-31,Electronics,30.14,0.0,5.43,False
TXN-501508,CUST-003923,2024-03-31,Electronics,50.07,0.0,9.01,False
TXN-501524,CUST-003695,2024-03-31,Home & Garden,58.07,0.05,19.31,False
TXN-501525,CUST-002856,2024-03-31,Apparel,102.67,0.0,46.2,False
TXN-500256,CUST-003845,2024-03-31,Apparel,143.75,0.1,58.22,False
TXN-500015,CUST-005857,2024-04-01,Apparel,333.98,0.0,150.29,False
TXN-500722,CUST-001269,2024-04-01,Sports & Outdoors,16.25,0.0,6.5,False
TXN-501559,CUST-000675,2024-04-01,Software Add-ons,49.04,0.05,33.54,False
TXN-501546,CUST-002725,2024-04-01,Sports & Outdoors,65.87,0.1,23.71,False
TXN-500199,CUST-002502,2024-04-01,Electronics,94.95,0.1,15.38,False
TXN-501588,CUST-002505,2024-04-02,Electronics,36.81,0.0,6.63,False
TXN-501662,CUST-000052,2024-04-02,Home & Garden,77.37,0.05,25.73,False
TXN-501658,CUST-004277,2024-04-02,Electronics,164.55,0.0,29.62,False
TXN-501651,CUST-001710,2024-04-02,Sports & Outdoors,78.8,0.1,28.37,False
TXN-501637,CUST-000273,2024-04-02,Software Add-ons,124.59,0.2,71.76,False
TXN-501627,CUST-000901,2024-04-02,Apparel,108.57,0.1,43.97,False
TXN-501621,CUST-001488,2024-04-02,Beauty,16.7,0.0,9.18,False
TXN-501620,CUST-005460,2024-04-02,Electronics,26.65,0.0,4.8,False
TXN-501648,CUST-000393,2024-04-02,Sports & Outdoors,48.72,0.1,17.54,False
TXN-500276,CUST-001436,2024-04-02,Beauty,10.2,0.0,-1.22,True
TXN-501592,CUST-004971,2024-04-02,Electronics,204.46,0.0,36.8,False
TXN-501565,CUST-001267,2024-04-02,Beauty,108.02,0.1,53.47,False
TXN-500912,CUST-001816,2024-04-02,Sports & Outdoors,196.2,0.0,78.48,False
TXN-501290,CUST-000859,2024-04-02,Software Add-ons,105.32,0.0,75.83,False
TXN-501618,CUST-000228,2024-04-02,Beauty,97.58,0.05,50.99,False
TXN-501670,CUST-002637,2024-04-03,Home & Garden,29.4,0.0,10.29,False
TXN-501695,CUST-004321,2024-04-03,Beauty,192.52,0.0,105.89,False
TXN-501693,CUST-001375,2024-04-03,Beauty,54.11,0.05,28.27,False
TXN-501689,CUST-002887,2024-04-03,Beauty,53.16,0.0,29.24,False
TXN-501676,CUST-000581,2024-04-03,Apparel,101.6,0.1,41.15,False
TXN-501715,CUST-004077,2024-04-03,Home & Garden,19.39,0.05,6.45,False
TXN-500088,CUST-003536,2024-04-03,Electronics,50.71,0.05,8.67,False
TXN-500284,CUST-001814,2024-04-03,Beauty,76.07,0.0,41.84,False
TXN-500502,CUST-001648,2024-04-03,Apparel,126.05,0.0,56.72,False
TXN-501725,CUST-001415,2024-04-04,Home & Garden,45.79,0.0,16.03,False
TXN-501720,CUST-000993,2024-04-04,Software Add-ons,55.21,0.05,37.76,False
TXN-501724,CUST-003490,2024-04-04,Electronics,55.09,0.0,9.92,False
TXN-501738,CUST-005675,2024-04-04,Beauty,57.69,0.05,30.14,False
TXN-501732,CUST-000547,2024-04-04,Electronics,24.7,0.0,4.45,False
TXN-500686,CUST-002679,2024-04-04,Apparel,31.51,0.0,14.18,False
TXN-501663,CUST-000052,2024-04-05,Apparel,84.41,0.0,37.98,False
TXN-500172,CUST-005852,2024-04-05,Software Add-ons,130.44,0.1,84.53,False
TXN-501619,CUST-000228,2024-04-05,Beauty,98.42,0.0,54.13,False
TXN-501291,CUST-000859,2024-04-05,Home & Garden,90.16,0.3,-7.57,True
TXN-501754,CUST-005255,2024-04-05,Beauty,22.83,0.0,12.56,False
TXN-501868,CUST-002767,2024-04-05,Electronics,101.08,0.0,18.19,False
TXN-501866,CUST-001369,2024-04-05,Beauty,131.65,0.0,72.41,False
TXN-501835,CUST-005743,2024-04-05,Software Add-ons,218.26,0.0,157.15,False
TXN-501816,CUST-000210,2024-04-05,Apparel,183.41,0.05,78.41,False
TXN-501814,CUST-000728,2024-04-05,Beauty,40.24,0.05,21.03,False
TXN-501791,CUST-002201,2024-04-05,Apparel,107.78,0.05,46.08,False
TXN-501781,CUST-002752,2024-04-05,Apparel,131.13,0.0,59.01,False
TXN-501776,CUST-005403,2024-04-05,Sports & Outdoors,93.41,0.0,37.36,False
TXN-501813,CUST-003468,2024-04-05,Electronics,94.0,0.2,13.54,False
TXN-501755,CUST-002573,2024-04-05,Home & Garden,79.21,0.0,27.72,False
TXN-501741,CUST-003605,2024-04-05,Beauty,71.34,0.15,33.35,False
TXN-501769,CUST-000832,2024-04-05,Home & Garden,37.14,0.0,13.0,False
TXN-500533,CUST-002835,2024-04-05,Apparel,174.83,0.05,74.74,False
TXN-501762,CUST-002393,2024-04-05,Electronics,69.0,0.0,-8.28,True
TXN-501936,CUST-001060,2024-04-06,Apparel,46.06,0.05,19.69,False
TXN-501940,CUST-000112,2024-04-06,Electronics,17.75,0.15,2.72,False
TXN-501941,CUST-001626,2024-04-06,Apparel,91.84,0.0,41.33,False
TXN-501964,CUST-002001,2024-04-06,Beauty,44.87,0.0,24.68,False
TXN-501973,CUST-004898,2024-04-06,Apparel,38.2,0.05,16.33,False
TXN-501977,CUST-002255,2024-04-06,Home & Garden,132.7,0.05,44.12,False
TXN-500140,CUST-004020,2024-04-06,Apparel,150.27,0.0,67.62,False
TXN-502003,CUST-005708,2024-04-06,Sports & Outdoors,9.54,0.0,3.82,False
TXN-502017,CUST-001980,2024-04-06,Electronics,25.52,0.0,4.59,False
TXN-501921,CUST-004087,2024-04-06,Apparel,59.63,0.2,21.47,False
TXN-502024,CUST-004558,2024-04-06,Apparel,41.48,0.0,18.67,False
TXN-501916,CUST-003141,2024-04-06,Home & Garden,50.5,0.0,17.67,False
TXN-501985,CUST-001631,2024-04-06,Apparel,95.16,0.0,42.82,False
TXN-502006,CUST-004984,2024-04-06,Home & Garden,145.63,0.0,50.97,False
TXN-501897,CUST-001609,2024-04-06,Apparel,47.53,0.0,21.39,False
TXN-501906,CUST-001948,2024-04-06,Apparel,77.22,0.0,34.75,False
TXN-502022,CUST-000042,2024-04-06,Sports & Outdoors,55.4,0.05,21.05,False
TXN-500006,CUST-002274,2024-04-06,Sports & Outdoors,72.9,0.0,29.16,False
TXN-501893,CUST-001709,2024-04-06,Beauty,17.88,0.05,9.34,False
TXN-500731,CUST-001833,2024-04-06,Apparel,57.37,0.1,23.24,False
TXN-502104,CUST-003467,2024-04-07,Home & Garden,96.97,0.0,33.94,False
TXN-500046,CUST-001125,2024-04-07,Sports & Outdoors,128.73,0.0,51.49,False
TXN-502098,CUST-003916,2024-04-07,Apparel,34.28,0.0,15.43,False
TXN-500621,CUST-002108,2024-04-07,Beauty,87.68,0.0,48.22,False
TXN-502069,CUST-000969,2024-04-07,Apparel,235.43,0.0,105.94,False
TXN-502062,CUST-003188,2024-04-07,Apparel,22.34,0.0,10.05,False
TXN-502060,CUST-000921,2024-04-07,Home & Garden,36.14,0.05,12.02,False
TXN-502059,CUST-004500,2024-04-07,Electronics,21.11,0.1,3.42,False
TXN-502040,CUST-004106,2024-04-07,Apparel,62.09,0.15,23.75,False
TXN-501084,CUST-001951,2024-04-07,Apparel,134.81,0.2,48.53,False
TXN-501189,CUST-004094,2024-04-07,Electronics,50.6,0.0,9.11,False
TXN-502057,CUST-003550,2024-04-07,Sports & Outdoors,39.54,0.3,11.07,False
TXN-502135,CUST-000161,2024-04-08,Electronics,35.14,0.15,5.38,False
TXN-502187,CUST-004219,2024-04-08,Apparel,28.91,0.0,-3.47,True
TXN-502188,CUST-004779,2024-04-08,Beauty,186.85,0.0,102.77,False
TXN-502192,CUST-004333,2024-04-08,Apparel,42.14,0.0,18.96,False
TXN-502199,CUST-002480,2024-04-08,Home & Garden,42.42,0.1,13.36,False
TXN-502179,CUST-003072,2024-04-08,Electronics,47.35,0.15,7.24,False
TXN-500249,CUST-004829,2024-04-08,Apparel,51.62,0.2,18.58,False
TXN-501322,CUST-001188,2024-04-08,Home & Garden,207.82,0.0,72.74,False
TXN-502162,CUST-002703,2024-04-08,Apparel,72.56,0.1,29.39,False
TXN-502147,CUST-001657,2024-04-08,Sports & Outdoors,20.34,0.15,6.92,False
TXN-502131,CUST-004545,2024-04-08,Sports & Outdoors,41.51,0.1,14.94,False
TXN-502126,CUST-002292,2024-04-08,Apparel,33.29,0.2,-3.2,True
TXN-500072,CUST-002093,2024-04-08,Electronics,40.26,0.1,6.52,False
TXN-502120,CUST-005820,2024-04-08,Apparel,73.61,0.0,33.12,False
TXN-502110,CUST-004007,2024-04-08,Home & Garden,20.27,0.0,7.09,False
TXN-501045,CUST-000668,2024-04-08,Electronics,225.32,0.0,-27.04,True
TXN-500461,CUST-005073,2024-04-08,Electronics,225.73,0.0,40.63,False
TXN-502128,CUST-001517,2024-04-08,Home & Garden,48.02,0.2,13.45,False
TXN-502241,CUST-002420,2024-04-09,Electronics,25.19,0.0,4.53,False
TXN-500431,CUST-000312,2024-04-09,Sports & Outdoors,108.26,0.05,41.14,False
TXN-502257,CUST-005873,2024-04-09,Beauty,261.06,0.05,136.4,False
TXN-502240,CUST-000260,2024-04-09,Home & Garden,14.59,0.15,4.34,False
TXN-502237,CUST-004911,2024-04-09,Beauty,108.95,0.0,59.92,False
TXN-500795,CUST-001555,2024-04-09,Apparel,105.77,0.05,45.22,False
TXN-502332,CUST-004564,2024-04-09,Software Add-ons,18.25,0.1,11.83,False
TXN-502320,CUST-003067,2024-04-09,Software Add-ons,61.25,0.05,41.9,False
TXN-500180,CUST-001273,2024-04-09,Sports & Outdoors,57.83,0.0,23.13,False
TXN-502220,CUST-005998,2024-04-09,Apparel,8.5,0.0,3.82,False
TXN-502233,CUST-003809,2024-04-09,Apparel,54.83,0.0,24.67,False
TXN-502268,CUST-002156,2024-04-09,Beauty,140.87,0.15,65.86,False
TXN-502266,CUST-005414,2024-04-09,Electronics,37.6,0.0,6.77,False
TXN-500131,CUST-002792,2024-04-09,Electronics,61.3,0.15,9.38,False
TXN-502307,CUST-001138,2024-04-09,Software Add-ons,124.2,0.0,89.42,False
TXN-501308,CUST-002707,2024-04-09,Apparel,69.38,0.05,29.66,False
TXN-502301,CUST-003562,2024-04-09,Apparel,29.59,0.0,13.32,False
TXN-502260,CUST-001518,2024-04-09,Home & Garden,35.12,0.0,12.29,False
TXN-502318,CUST-002615,2024-04-09,Beauty,56.31,0.05,29.42,False
TXN-502243,CUST-003017,2024-04-09,Electronics,47.98,0.0,8.64,False
TXN-502347,CUST-001183,2024-04-10,Electronics,89.87,0.05,15.37,False
TXN-500503,CUST-001648,2024-04-10,Sports & Outdoors,74.51,0.15,25.33,False
TXN-502356,CUST-005031,2024-04-10,Sports & Outdoors,85.59,0.15,29.1,False
TXN-502380,CUST-003904,2024-04-10,Home & Garden,51.86,0.0,18.15,False
TXN-502390,CUST-001521,2024-04-10,Beauty,27.38,0.0,15.06,False
TXN-502391,CUST-005150,2024-04-10,Sports & Outdoors,18.28,0.1,6.58,False
TXN-502394,CUST-003398,2024-04-10,Electronics,84.69,0.2,12.2,False
TXN-502409,CUST-001433,2024-04-10,Electronics,79.31,0.1,12.85,False
TXN-502418,CUST-004125,2024-04-10,Beauty,16.65,0.1,8.24,False
